% NACA 64(3)-618 upper half
1.00000     0.00000
0.95056     0.01344
0.90115     0.02646
0.85161     0.03963
0.80191     0.05270
0.75203     0.06544
0.70196     0.07754
0.65171     0.08870
0.60129     0.09870
0.55071     0.10730
0.50000     0.11423
0.44917     0.11915
0.39827     0.12163
0.34735     0.12065
0.29645     0.11698
0.24560     0.11065
0.19486     0.10153
0.14427     0.08937
0.09395     0.07322
0.06895     0.06312
0.04417     0.05093
0.01982     0.03518
0.00805     0.02452
0.00359     0.01885
0.00150     0.01534
0.00000     0.00000
