% NACA 64(3)-618 lower half
0.00000     0.00000
0.00850     -0.01234
0.01141     -0.01465
0.01695     -0.01810
0.03018     -0.02402
0.05583     -0.03197
0.08105     -0.03769
0.10605     -0.04220
0.15573     -0.04899
0.20514     -0.05377
0.25440     -0.05695
0.30355     -0.05866
0.35265     -0.05885
0.40173     -0.05737
0.45083     -0.05345
0.50000     -0.04805
0.54929     -0.04160
0.59871     -0.03444
0.64829     -0.02690
0.69804     -0.01922
0.74797     -0.01174
0.79809     -0.00494
0.84839     0.00075
0.89885     0.00456
0.94944     0.00552
1.00000     0.00000
